date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:49	7347/7347	---M--	200	added ('OK')	image/jpeg	etag:%22cfIQLX9tO9HGx6mFXKX5aWeA%22	https://registry.walletconnect.org/logo/lg/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:49	6371/6371	---M--	200	added ('OK')	image/jpeg	etag:%22cf39vY7ocKelGOLQu501DrAg%22	https://registry.walletconnect.org/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:50	8138/8138	---M--	200	added ('OK')	image/png	etag:%22cfZ8SWmoBBWvRS2yeSkpizLg%22	https://registry.walletconnect.org/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:50	1169/1169	---M--	200	added ('OK')	image/png	etag:%221c69a1b3d80c9448854ca56b51160c87%22	https://s2.coinmarketcap.com/static/img/coins/64x64/2772.png	C:/Users/Sultan/Desktop/Blockchain/s2.coinmarketcap.com/static/img/coins/64x64/2772.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:51	510/510	---M--	200	added ('OK')	image/png	etag:%223846e60f703a14b907a0a58ea2a2905a%22	https://s2.coinmarketcap.com/static/img/coins/64x64/9195.png	C:/Users/Sultan/Desktop/Blockchain/s2.coinmarketcap.com/static/img/coins/64x64/9195.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:52	12493/12493	---M--	200	added ('OK')	image/jpeg	etag:%22cfNKZA_m8M1nEY5tLl3tbHDg%22	https://registry.walletconnect.org/logo/lg/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:53	8931/8931	---M--	200	added ('OK')	image/jpeg	etag:%22cfYf97zsLpTn-BqU6iyxF4Sw%22	https://registry.walletconnect.org/logo/lg/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:54	6814/6814	---M--	200	added ('OK')	image/jpeg	etag:%22cfFuA0mgi9ocUk_wYagdSznw%22	https://registry.walletconnect.org/logo/lg/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:54	12264/12264	---M--	200	added ('OK')	image/jpeg	etag:%22cf1yNFvMmTWTE0_gotlVY4uQ%22	https://registry.walletconnect.org/logo/lg/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:56	2236/2236	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Jul%202022%2012:59:40%20GMT	https://is3-ssl.mzstatic.com/image/thumb/Purple116/v4/6a/2f/a3/6a2fa3f5-2abd-594f-cd13-c68e04090e8b/source/60x60bb.jpg	C:/Users/Sultan/Desktop/Blockchain/is3-ssl.mzstatic.com/image/thumb/Purple116/v4/6a/2f/a3/6a2fa3f5-2abd-594f-cd13-c68e04090e8b/source/60x60bb.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:56	13317/13317	---M--	200	added ('OK')	image/jpeg	etag:%22cfHByTmE9mqnO-kLmi-oZrHg%22	https://registry.walletconnect.org/logo/lg/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:57	8888/8888	---M--	200	added ('OK')	image/jpeg	etag:%22cffNIkWH5ZRXbumiAQMoKNEA%22	https://registry.walletconnect.org/logo/lg/61f6e716826ae8455ad16abc5ec31e4fd5d6d2675f0ce2dee3336335431f720e.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/61f6e716826ae8455ad16abc5ec31e4fd5d6d2675f0ce2dee3336335431f720e.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:57	12677/12677	---M--	200	added ('OK')	image/jpeg	etag:%22cfSSp6yx80JelZRLbdSDAI5w%22	https://registry.walletconnect.org/logo/lg/6bb4596640ce9f8c02fbaa83e3685425455a0917d025608b4abc53bfe55887c6.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/6bb4596640ce9f8c02fbaa83e3685425455a0917d025608b4abc53bfe55887c6.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
